what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1340405599955
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340405604288
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340405622994
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1340405635056
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340405650670
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340405661856
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1340405677372
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340405727889
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340405741842
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1340405748653
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340405764879
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340405811837
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340406083860
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340406133683
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340406394500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340406399164
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340406400907
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340406440054
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340406441280
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340406455210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340406531082
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340406532393
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340406534792
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340406535381
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340406538377
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340406539246
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340406543268
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340406551260
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340406552673
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340406558496
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340406560122
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340406579683
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.showInformation",1340406579710
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340406580753
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340406582774
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340406596369
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340406607219
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340406613015
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340406616599
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340406635846
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340406691573
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340406693121
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340406700068
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340406701952
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340406795948
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340406826675
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340406845383
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340406920357
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340406986250
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1340407001796
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1340407055337
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1340407055568
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1340407055673
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340407058264
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1340407058265
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1340407064211
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340407074776
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340407077503
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1340407077533
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340407077533
