what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1340410098242
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340410100544
closed,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1340410100544
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1340410104873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340410107182
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340410109257
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1340410109274
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1340410109274
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1340410110426
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340410141198
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340410159418
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340410172874
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1340410179283
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340410249149
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340410329834
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340410332929
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1340410340351
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1340410342810
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340410357217
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340410399992
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340410412240
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340410427088
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340410470663
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340410499440
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1340410515187
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340410545546
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340410634360
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1340410655929
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340410688527
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1340410698569
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1340410700850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340410710407
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340411123297
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340411127773
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340411135102
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340411136072
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340411139936
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340411141145
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340411141535
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340411150705
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340411428096
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340411442251
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340411478068
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340411497063
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340411498158
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1340411500268
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1340411502690
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340411508126
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340411511945
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340411747529
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340411756350
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340411785585
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1340411787989
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1340411789677
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340411793381
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340411807075
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340412115154
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340412120339
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340412172493
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1340412187500
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1340412191069
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340412194343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340413265462
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340417347525
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340419509689
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1340419578102
